age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
34,7,1,7,1,2,1,2,6,3,132,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
36,6,1,5,1,1,1,2,6,2,291,2,999,0,1,1.1,93.994,-36.4,4.86,5191.0,1
48,7,3,3,1,2,2,1,4,3,193,4,999,1,3,-0.1,93.2,-42.0,4.1530000000000005,5195.8,1
33,2,1,3,1,2,1,2,6,4,563,2,999,0,1,1.1,93.994,-36.4,4.8580000000000005,5191.0,1
46,9,1,5,1,2,1,1,3,1,358,1,999,0,1,-2.9,92.201,-31.4,0.8809999999999999,5076.2,2
49,8,1,1,1,2,2,2,6,4,220,2,999,0,1,1.1,93.994,-36.4,4.859,5191.0,1
38,2,2,5,1,2,1,2,6,5,73,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
46,8,1,2,1,1,1,1,3,5,488,2,999,0,1,1.4,93.444,-36.1,4.97,5228.1,1
36,2,1,5,1,2,1,2,6,1,147,14,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
30,2,3,5,1,2,1,1,2,3,443,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
55,2,1,5,1,2,1,1,2,5,170,3,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
30,2,3,5,1,1,1,1,3,1,254,1,999,0,1,1.4,93.444,-36.1,4.964,5228.1,1
41,6,3,5,1,2,2,1,5,4,264,2,999,0,1,-1.8,93.075,-47.1,1.415,5099.1,2
54,5,1,3,1,1,1,1,4,3,53,1,999,1,3,-0.1,93.2,-42.0,4.1530000000000005,5195.8,1
26,8,3,1,1,2,1,1,2,3,126,3,999,0,1,1.4,93.918,-42.7,4.961,5228.1,1
34,2,1,3,1,1,1,1,4,4,85,1,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,1
43,2,1,7,1,1,2,2,6,3,221,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
44,6,2,5,1,2,2,2,2,5,112,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
47,8,1,5,1,2,2,2,6,1,72,6,6,1,2,-1.8,92.893,-46.2,1.3130000000000002,5099.1,1
60,11,1,5,1,2,1,1,2,1,79,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
34,2,3,1,1,1,1,1,6,2,22,11,999,0,1,-1.8,92.893,-46.2,1.327,5099.1,1
33,10,1,2,1,1,1,1,4,4,636,1,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,1
30,2,3,3,1,1,1,1,5,2,69,1,999,0,1,-1.8,93.075,-47.1,1.365,5099.1,1
32,5,1,3,1,1,1,1,4,2,203,1,999,0,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,1
30,2,1,3,1,2,1,1,4,2,157,1,999,0,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,1
37,5,1,3,1,1,1,1,3,3,208,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,1
41,2,2,5,1,2,1,1,6,5,63,5,999,0,1,-1.8,92.893,-46.2,1.244,5099.1,1
55,2,1,5,1,1,1,1,6,3,165,1,999,0,1,-1.8,92.893,-46.2,1.291,5099.1,1
41,2,1,5,1,1,2,1,5,5,239,2,999,1,3,-1.8,93.075,-47.1,1.405,5099.1,1
29,6,1,5,1,2,1,2,6,4,121,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
45,8,1,4,1,2,1,2,7,4,107,2,999,0,1,1.4,94.465,-41.8,4.864,5228.1,1
61,11,1,4,1,2,1,1,3,1,168,1,15,1,2,-2.9,92.201,-31.4,0.8490000000000001,5076.2,2
59,2,2,3,1,1,1,1,5,4,194,1,999,0,1,-1.8,93.075,-47.1,1.415,5099.1,1
48,5,1,3,1,2,1,1,4,1,118,1,999,0,1,-0.1,93.2,-42.0,4.021,5195.8,1
48,8,1,4,1,1,1,1,2,2,484,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
32,6,3,3,1,2,1,2,4,4,52,2,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,1
50,5,1,3,1,2,1,1,5,5,143,4,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,1
33,5,1,3,1,1,2,2,6,1,70,1,999,0,1,1.1,93.994,-36.4,4.855,5191.0,1
26,2,3,3,1,2,1,1,5,1,376,1,999,0,1,-1.8,93.075,-47.1,1.479,5099.1,1
44,2,1,3,1,1,1,2,7,5,78,3,999,0,1,1.4,94.465,-41.8,4.961,5228.1,1
73,11,1,3,1,2,1,1,5,2,79,1,999,1,3,-1.8,93.075,-47.1,1.365,5099.1,1
31,7,1,2,1,1,2,1,2,2,1319,5,999,0,1,1.4,93.918,-42.7,4.958,5228.1,2
46,10,2,5,1,1,1,2,7,1,485,3,999,0,1,1.4,94.465,-41.8,4.959,5228.1,1
29,2,1,5,1,2,1,1,2,3,681,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,2
32,8,1,4,1,2,1,1,2,4,147,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
50,1,1,2,1,1,2,1,3,4,88,3,999,0,1,1.4,93.444,-36.1,4.964,5228.1,1
59,11,1,4,1,2,1,2,7,5,263,4,999,0,1,-2.9,92.963,-40.8,1.26,5076.2,1
35,2,3,3,1,1,1,1,6,5,386,1,999,0,1,-1.8,92.893,-46.2,1.2990000000000002,5099.1,1
55,9,2,3,1,2,1,2,6,3,376,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
35,8,3,5,1,2,2,2,6,3,236,6,999,0,1,-1.8,92.893,-46.2,1.291,5099.1,1
56,11,1,5,1,1,1,2,6,1,319,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
25,9,1,4,1,1,1,2,7,4,362,1,999,0,1,1.4,94.465,-41.8,4.962,5228.1,1
40,6,1,5,1,1,2,2,6,1,762,3,999,0,1,1.1,93.994,-36.4,4.864,5191.0,2
40,4,1,2,1,1,1,1,4,3,55,1,999,1,3,-0.1,93.2,-42.0,4.1530000000000005,5195.8,1
34,6,3,5,1,2,2,1,6,2,269,2,999,0,1,-1.8,92.893,-46.2,1.327,5099.1,1
38,2,1,5,1,2,1,1,3,5,470,1,6,2,3,-2.9,92.201,-31.4,0.821,5076.2,2
34,2,3,5,1,2,1,1,2,1,108,1,999,0,1,1.4,93.918,-42.7,4.957,5228.1,1
44,1,1,2,1,1,1,2,7,1,9,8,999,0,1,1.4,94.465,-41.8,4.959,5228.1,1
35,8,1,2,1,2,1,1,2,1,333,1,999,0,1,1.4,93.918,-42.7,4.963,5228.1,1
54,2,2,2,1,1,1,1,2,3,109,2,999,0,1,1.4,93.918,-42.7,4.961,5228.1,1
38,7,3,3,1,1,1,1,5,1,301,2,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,1
36,6,2,2,1,2,1,1,6,3,255,2,999,0,1,-1.8,92.893,-46.2,1.291,5099.1,1
36,2,3,5,1,2,1,1,8,5,113,1,6,1,2,-3.4,92.431,-26.9,0.7390000000000001,5017.5,1
30,3,3,3,1,2,2,1,3,2,358,1,999,0,1,1.4,93.444,-36.1,4.968,5228.1,1
47,8,1,1,1,2,2,2,6,2,93,1,999,0,1,1.1,93.994,-36.4,4.855,5191.0,1
50,4,1,7,1,2,1,1,2,2,77,2,999,0,1,1.4,93.918,-42.7,4.968,5228.1,1
55,6,2,5,1,1,1,1,2,5,164,7,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
29,6,3,5,1,2,1,2,2,4,206,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
58,11,1,5,1,2,1,1,3,1,35,10,999,0,1,1.4,93.444,-36.1,4.963,5228.1,1
36,4,3,3,1,2,1,2,8,2,248,1,999,0,1,-0.1,93.798,-40.4,4.794,5195.8,2
50,10,1,2,1,2,1,1,2,2,129,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
36,6,1,5,1,2,1,2,6,4,54,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
33,6,3,5,1,2,1,1,2,3,286,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
42,4,1,5,1,1,1,2,6,3,83,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,1
43,7,1,5,1,1,1,1,2,4,322,4,999,0,1,1.4,93.918,-42.7,4.957,5228.1,1
50,7,1,7,1,2,1,2,6,4,333,4,999,0,1,1.1,93.994,-36.4,4.856,5191.0,1
37,8,1,2,1,2,1,2,7,1,28,1,999,0,1,1.4,94.465,-41.8,4.967,5228.1,1
47,7,2,5,1,2,1,1,2,2,43,3,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
48,8,1,4,1,1,2,1,6,4,170,1,999,0,1,-1.8,92.893,-46.2,1.334,5099.1,1
31,7,3,7,1,1,1,1,3,2,449,1,999,0,1,1.4,93.444,-36.1,4.964,5228.1,1
47,5,3,3,1,2,1,1,2,5,106,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
30,7,3,3,1,1,1,2,6,3,106,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,1
40,8,1,4,1,1,1,2,7,2,354,7,999,0,1,1.4,94.465,-41.8,4.961,5228.1,1
51,9,1,4,1,1,1,1,8,3,130,2,999,2,3,-1.1,94.601,-49.5,0.982,4963.6,1
47,6,2,5,1,1,2,2,6,3,299,3,999,0,1,1.1,93.994,-36.4,4.856,5191.0,1
54,2,3,3,1,1,1,1,3,2,218,2,999,0,1,1.4,93.444,-36.1,4.968,5228.1,1
26,2,3,3,1,1,2,1,2,4,979,3,999,0,1,1.4,93.918,-42.7,4.963,5228.1,1
43,2,1,3,1,1,1,2,6,4,68,1,999,0,1,1.1,93.994,-36.4,4.8580000000000005,5191.0,1
27,2,1,5,1,1,1,1,4,5,116,1,4,2,3,-3.4,92.649,-30.1,0.7140000000000001,5017.5,1
46,2,1,3,1,1,1,1,2,3,340,3,999,0,1,1.4,93.918,-42.7,4.961,5228.1,1
59,8,1,4,1,2,1,2,6,3,424,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
33,5,3,3,1,2,1,1,5,4,212,1,999,0,1,-1.8,93.075,-47.1,1.4980000000000002,5099.1,1
39,8,1,2,1,1,1,1,5,2,73,1,999,1,3,-1.8,93.075,-47.1,1.483,5099.1,1
31,5,3,3,1,2,1,2,4,2,207,3,999,0,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,1
31,2,1,3,1,2,1,1,6,2,400,1,3,1,2,-1.8,93.876,-40.0,0.6829999999999999,5008.7,2
57,2,1,5,1,2,1,1,3,5,91,1,999,0,1,1.4,93.444,-36.1,4.97,5228.1,1
32,7,1,5,1,1,1,1,6,1,134,1,999,1,3,-1.8,92.893,-46.2,1.3130000000000002,5099.1,1
29,7,3,7,1,1,1,1,4,3,449,2,1,1,2,-1.1,94.767,-50.8,1.046,4963.6,2
33,2,3,3,1,2,1,1,8,2,759,1,3,3,2,-1.1,94.601,-49.5,1.025,4963.6,2
39,8,1,2,1,1,2,2,6,1,97,3,999,0,1,1.1,93.994,-36.4,4.864,5191.0,1
39,2,3,3,1,1,1,1,3,2,421,1,999,0,1,1.4,93.444,-36.1,4.964,5228.1,1
37,8,1,2,1,1,1,2,7,5,430,2,999,0,1,1.4,94.465,-41.8,4.865,5228.1,1
33,6,3,5,1,1,1,1,8,3,137,1,999,0,1,-3.4,92.431,-26.9,0.728,5017.5,2
49,2,3,3,1,1,1,1,6,3,132,1,999,1,3,-1.8,92.893,-46.2,1.266,5099.1,1
50,2,1,7,1,1,1,1,2,3,306,14,999,0,1,1.4,93.918,-42.7,4.961,5228.1,1
36,2,1,2,1,2,2,1,6,1,85,1,999,0,1,-1.8,92.893,-46.2,1.3130000000000002,5099.1,1
77,11,2,4,1,1,1,1,5,2,155,1,999,1,3,-1.8,93.075,-47.1,1.365,5099.1,1
37,8,3,2,1,1,1,2,6,1,136,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
55,8,1,2,1,2,1,2,6,4,323,4,999,0,1,1.1,93.994,-36.4,4.859,5191.0,1
36,7,1,3,1,1,1,1,7,5,59,1,3,1,2,-2.9,92.963,-40.8,1.266,5076.2,1
47,8,3,2,1,2,1,1,2,4,89,2,999,0,1,1.4,93.918,-42.7,4.957,5228.1,1
31,2,3,3,1,1,1,1,3,2,116,3,999,0,1,1.4,93.444,-36.1,4.962,5228.1,1
33,7,1,3,1,2,1,2,7,3,272,1,999,0,1,1.4,94.465,-41.8,4.864,5228.1,1
39,7,3,4,1,2,1,1,6,2,411,2,999,0,1,-1.8,92.893,-46.2,1.266,5099.1,1
32,5,1,3,1,1,1,1,4,1,8,5,999,0,1,-0.1,93.2,-42.0,4.021,5195.8,1
27,3,3,3,1,2,1,1,5,2,458,1,999,0,1,-1.8,93.075,-47.1,1.365,5099.1,2
35,8,2,3,1,2,1,1,2,3,1029,3,999,0,1,1.4,93.918,-42.7,4.961,5228.1,1
46,8,1,4,1,1,2,2,6,1,28,8,999,0,1,1.1,93.994,-36.4,4.864,5191.0,1
42,2,2,3,1,2,1,2,7,1,14,6,999,0,1,1.4,94.465,-41.8,4.959,5228.1,1
44,8,1,4,1,2,1,1,5,2,178,1,999,0,1,-1.8,93.075,-47.1,1.41,5099.1,1
26,6,3,5,1,2,1,2,6,1,123,2,999,0,1,1.1,93.994,-36.4,4.864,5191.0,1
33,8,1,2,1,1,1,1,3,1,99,1,999,2,3,-2.9,92.201,-31.4,0.8809999999999999,5076.2,1
25,8,1,5,1,1,1,2,6,2,250,1,999,0,1,1.1,93.994,-36.4,4.855,5191.0,1
32,10,1,5,1,1,1,1,6,3,198,1,999,0,1,-1.8,92.893,-46.2,1.291,5099.1,1
32,7,1,5,1,1,1,1,10,2,245,1,999,0,1,-1.1,94.199,-37.5,0.878,4963.6,1
57,8,1,4,1,1,1,2,7,1,19,4,999,0,1,1.4,94.465,-41.8,4.959,5228.1,1
29,7,3,3,1,2,1,2,6,1,256,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
44,2,1,5,1,1,1,1,6,1,131,1,999,1,3,-1.8,92.893,-46.2,1.3130000000000002,5099.1,1
28,3,3,3,1,1,1,1,6,3,135,4,999,0,1,-1.8,92.893,-46.2,1.291,5099.1,1
41,8,2,7,1,2,1,2,2,3,351,11,999,0,1,1.4,93.918,-42.7,4.961,5228.1,1
23,7,3,7,1,2,1,1,4,2,116,5,9,2,3,-3.4,92.649,-30.1,0.7140000000000001,5017.5,1
32,2,3,3,1,1,1,2,4,4,125,3,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,1
49,6,1,5,1,2,1,2,6,4,214,1,999,0,1,1.1,93.994,-36.4,4.859,5191.0,1
35,8,3,4,1,2,2,2,6,5,374,6,999,0,1,1.1,93.994,-36.4,4.8580000000000005,5191.0,1
36,4,1,2,1,1,1,1,3,2,1184,2,999,0,1,1.4,93.444,-36.1,4.964,5228.1,2
56,2,1,3,1,1,1,2,2,1,55,9,999,0,1,1.4,93.918,-42.7,4.957,5228.1,1
37,7,3,3,1,1,1,1,5,5,190,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,1
35,8,1,2,1,2,1,2,6,2,255,1,999,0,1,1.1,93.994,-36.4,4.855,5191.0,1
52,8,1,4,1,2,1,2,7,5,162,1,999,0,1,1.4,94.465,-41.8,4.96,5228.1,1
57,5,1,3,1,1,1,2,7,5,103,3,999,0,1,1.4,94.465,-41.8,4.96,5228.1,1
32,6,1,5,1,2,1,1,5,5,14,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,1
32,5,3,3,1,1,1,1,5,5,333,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,1
49,7,2,7,1,1,1,2,7,1,158,1,999,0,1,1.4,94.465,-41.8,4.959,5228.1,1
39,4,1,1,1,1,2,2,7,1,213,1,999,0,1,1.4,94.465,-41.8,4.947,5228.1,1
36,6,1,5,1,2,1,2,6,1,260,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
31,5,1,3,1,2,1,1,4,4,196,1,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,1
26,3,3,5,1,2,1,1,6,5,113,2,999,0,1,-1.8,92.893,-46.2,1.244,5099.1,1
42,11,2,6,1,1,1,1,3,4,146,4,999,0,1,-2.9,92.201,-31.4,0.8340000000000001,5076.2,1
40,8,1,1,1,1,1,2,6,3,85,2,999,0,1,1.1,93.994,-36.4,4.856,5191.0,1
35,7,3,3,1,2,1,1,5,5,79,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,1
58,8,1,2,1,1,1,1,3,5,498,1,999,0,1,1.4,93.444,-36.1,4.97,5228.1,1
56,11,1,7,1,1,1,2,8,1,235,1,999,0,1,-0.1,93.798,-40.4,5.045,5195.8,2
36,10,1,2,1,1,1,1,6,5,104,3,999,0,1,-1.8,92.893,-46.2,1.354,5099.1,1
41,7,2,7,1,2,1,1,2,5,91,13,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
38,7,1,7,1,2,1,2,6,1,167,1,999,0,1,1.1,93.994,-36.4,4.859,5191.0,1
38,8,3,4,1,2,1,1,6,4,203,2,999,0,1,-1.8,92.893,-46.2,1.334,5099.1,1
38,7,3,7,1,1,1,2,7,2,574,4,999,0,1,1.4,94.465,-41.8,4.961,5228.1,1
25,2,3,3,1,1,1,1,9,1,78,2,999,0,1,-3.0,92.713,-33.0,0.718,5023.5,1
39,2,3,5,1,1,1,1,6,2,387,10,999,0,1,-1.8,92.893,-46.2,1.266,5099.1,1
35,2,3,3,1,1,1,2,6,1,123,4,999,0,1,1.1,93.994,-36.4,4.864,5191.0,1
33,7,1,2,1,2,1,2,6,5,215,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
28,7,1,7,1,2,1,1,2,3,249,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
40,2,2,3,1,1,1,1,5,4,143,2,999,0,1,-1.8,93.075,-47.1,1.445,5099.1,2
42,6,3,5,1,2,1,1,6,5,7,5,999,2,3,-1.8,92.893,-46.2,1.2990000000000002,5099.1,1
49,5,2,5,1,2,1,2,6,5,145,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
30,2,1,5,1,2,1,2,6,1,96,2,999,0,1,1.1,93.994,-36.4,4.864,5191.0,1
43,6,2,1,1,2,1,1,3,4,40,3,999,0,1,-2.9,92.201,-31.4,0.884,5076.2,1
37,8,3,3,1,1,1,2,6,4,293,1,999,0,1,1.1,93.994,-36.4,4.8580000000000005,5191.0,1
30,7,3,7,1,1,1,1,3,2,656,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,1
32,7,3,3,1,2,1,1,3,3,114,2,999,0,1,1.4,93.444,-36.1,4.966,5228.1,1
20,10,3,5,1,1,2,2,6,4,680,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
46,7,2,7,1,1,1,2,7,4,53,2,999,0,1,1.4,94.465,-41.8,4.962,5228.1,1
32,2,3,3,1,1,1,1,1,5,52,3,999,0,1,-1.8,92.843,-50.0,1.52,5099.1,1
55,9,1,4,1,2,1,1,5,5,1435,1,999,0,1,-1.8,93.075,-47.1,1.466,5099.1,2
30,8,1,2,1,1,2,2,7,1,78,2,999,0,1,1.4,94.465,-41.8,4.959,5228.1,1
41,8,1,2,1,1,1,2,6,5,120,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
47,6,1,5,1,2,1,1,4,3,164,1,999,0,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,1
29,7,3,3,1,1,2,2,6,5,147,1,999,0,1,1.1,93.994,-36.4,4.8580000000000005,5191.0,1
32,2,1,5,1,1,1,1,3,1,52,8,999,0,1,1.4,93.444,-36.1,4.966,5228.1,1
44,7,1,1,1,2,1,2,7,5,160,2,999,0,1,1.4,94.465,-41.8,4.961,5228.1,1
43,7,3,3,1,1,1,1,5,2,64,1,999,0,1,-1.8,93.075,-47.1,1.365,5099.1,1
52,2,3,3,1,2,1,1,7,5,327,1,999,0,1,-2.9,92.963,-40.8,1.266,5076.2,2
35,7,1,7,1,2,1,1,3,5,189,5,999,0,1,1.4,93.444,-36.1,4.963,5228.1,1
30,2,3,3,1,1,1,1,2,2,36,2,999,0,1,1.4,93.918,-42.7,4.958,5228.1,1
57,8,1,4,1,1,1,2,6,1,258,2,999,0,1,1.1,93.994,-36.4,4.859,5191.0,1
47,6,2,5,1,1,1,2,6,5,198,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
43,2,2,5,1,2,2,1,6,2,892,2,999,0,1,-1.8,92.893,-46.2,1.327,5099.1,1
34,6,3,5,1,1,1,2,2,3,29,16,999,0,1,1.4,93.918,-42.7,4.961,5228.1,1
57,5,1,3,1,2,1,2,4,5,76,1,999,0,1,-0.1,93.2,-42.0,4.191,5195.8,1
44,2,1,7,1,1,1,1,4,5,200,1,999,1,3,-0.1,93.2,-42.0,4.191,5195.8,1
47,7,1,7,1,1,1,2,6,5,89,1,999,0,1,1.1,93.994,-36.4,4.8580000000000005,5191.0,1
57,11,1,3,1,2,1,2,6,3,177,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,1
44,6,1,5,1,2,1,2,6,1,146,4,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
32,7,3,7,1,2,1,1,4,4,140,1,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,1
30,5,3,3,1,2,1,2,6,4,83,1,999,0,1,1.1,93.994,-36.4,4.8580000000000005,5191.0,1
46,7,1,7,1,2,2,1,4,1,484,4,999,0,1,-0.1,93.2,-42.0,4.021,5195.8,1
56,2,2,1,1,1,1,1,2,2,614,5,999,0,1,1.4,93.918,-42.7,4.958,5228.1,1
28,2,3,3,1,2,1,1,3,1,119,1,999,1,3,-2.9,92.201,-31.4,0.8809999999999999,5076.2,1
27,8,3,7,1,2,1,2,8,5,3284,1,999,0,1,-0.1,93.798,-40.4,4.912,5195.8,1
44,2,3,5,1,1,1,2,7,4,61,3,999,0,1,1.4,94.465,-41.8,4.962,5228.1,1
36,2,1,3,1,2,1,1,3,2,165,2,999,0,1,1.4,93.444,-36.1,4.962,5228.1,1
35,6,2,5,1,2,1,1,6,3,211,5,999,0,1,-1.8,92.893,-46.2,1.291,5099.1,1
34,2,3,3,1,1,1,1,1,3,241,1,6,1,2,-1.8,93.369,-34.8,0.652,5008.7,2
26,6,1,5,1,2,2,1,2,4,136,6,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
35,7,1,2,1,1,1,2,6,2,1224,2,999,0,1,1.1,93.994,-36.4,4.86,5191.0,2
32,2,3,5,1,2,1,1,2,4,192,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
27,8,3,3,1,2,1,1,5,2,246,2,999,0,1,-1.8,93.075,-47.1,1.365,5099.1,2
58,9,1,4,1,1,1,1,3,4,84,3,999,0,1,1.4,93.444,-36.1,4.967,5228.1,1
32,2,3,3,1,1,1,1,3,4,142,1,999,0,1,1.4,93.444,-36.1,4.967,5228.1,1
44,8,1,4,1,2,2,1,6,4,94,1,999,0,1,-1.8,92.893,-46.2,1.334,5099.1,1
